name,objective,method,structure,target,zero_handling,arm,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,rmse,mae
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_global,524541290.5904893,363119152.06,161422138.53048933,44.45431688599469,228.75436097390036,86990.54234537993,4378.478141007977
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_type,490111025.1516493,363119152.06,126991873.0916493,34.97250761112865,169.2226947528198,91497.06780232182,4058.7851944483937
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,cv_type_bs1,437179124.8908875,363119152.06,74059972.8308875,20.39550169985256,161.10161237087783,83420.895310848,3779.6022913336888
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,duan,283337582.4044595,363119152.06,-79781569.65554053,-21.971181966837655,100.11405957033526,80492.1201888678,3111.286104163024
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,insample_global,349796755.4718106,363119152.06,-13322396.588189423,-3.6688774229094085,144.9369180880771,80614.60532806294,3434.3638697736847
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,iso_global,749096456.0397642,363119152.06,385977303.97976416,106.29494527900505,383.85144019669804,92111.67119542389,5600.486956176158
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,none,283337582.4044595,363119152.06,-79781569.65554053,-21.971181966837655,100.11405957033526,80492.1201888678,3111.286104163024
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,paper,283337582.4044595,363119152.06,-79781569.65554053,-21.971181966837655,100.11405957033526,80492.1201888678,3111.286104163024
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,shift_dy_bs1,485859207.672099,363119152.06,122740055.61209899,33.80159237423479,213.07555703528536,84093.34995617844,4161.931155252097
lightgbm_tweedie__per_dy__raw__include_zeros,tweedie_lgbm,lightgbm,per_dy,raw,include_zeros,shift_global,524694433.70657426,363119152.06,161575281.64657426,44.49649122882848,228.72530806072072,86979.83739308009,4379.658926122401
